Artist,Name,Date,ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
I DONT KNOW HOW BUT THEY FOUND ME,From The Gallows,2023-07-20,2n6Q4EEnQGhqikpO8bNAtD,0.395,0.54,6,-6.439,0.0472,0.392,0.000169,0.43,0.336,104.549,162592
clipping.,Nothing is Safe,2023-07-17,52UthFOfrbtnjBMK6jyLqk,0.92,0.489,2,-9.19,0.0731,0.0823,0.052,0.0626,0.327,125.973,297249
clipping.,Story 2,2023-07-17,1UsHdJAj4Y1sMIqAh1mS02,0.615,0.648,11,-6.604,0.352,0.0268,0,0.515,0.479,165.222,132050
Scrawny,Six Legs (tippy tappy toes),2023-07-17,2YEBDLIavEArLQBL1qbnYD,0.623,0.656,0,-6.677,0.0384,0.481,0.000175,0.199,0.407,152.053,186227
Emei,Distracted,2023-06-27,5YOzLTrk5Xzmg4rhYTmWiq,0.549,0.49,5,-8.158,0.206,0.452,0,0.245,0.416,199.732,160800
OneRepublic,Counting Stars,2023-06-27,2tpWsVSb9UEmDRxAl1zhX1,0.664,0.705,1,-4.972,0.0382,0.0654,0,0.118,0.477,122.016,257267
Amy Macdonald,This Is The Life,2023-06-16,2T3jgoAMbBXiMMD8pSc6QL,0.628,0.882,1,-5.024,0.0323,0.259,0,0.065,0.853,95.083,184413
Em Beihold,Too Precious,2023-06-12,6fE3wA5brWaKWadgaGJWMw,0.8,0.558,8,-4.74,0.0459,0.29,0,0.142,0.453,118.039,169850
G-Eazy,"Me, Myself & I",2023-05-29,40YcuQysJ0KlGQTeGUosTC,0.756,0.674,0,-6.518,0.0959,0.0184,0,0.158,0.389,111.995,251467
G-Eazy,Him & I (with Halsey),2023-05-29,5k38wzpLb15YgncyWdTZE4,0.589,0.731,2,-6.343,0.0868,0.0534,0,0.308,0.191,87.908,268867
Gnarls Barkley,Crazy,2023-05-27,2N5zMZX7YeL1tico8oQxa9,0.835,0.741,8,-1.609,0.0339,0.0172,0.0577,0.0826,0.612,111.963,182066
Mel Bryant & the Mercy Makers,Never Thought,2023-05-17,4Cu9eIDavwgabGjIhiu5Be,0.46,0.396,7,-11.119,0.0643,0.678,4.94e-06,0.194,0.537,155.903,118812
Emei,Better People to Leave on Read,2023-05-10,2udku1cSrUneAFrBqJlsX4,0.605,0.435,2,-7.415,0.145,0.146,0,0.355,0.761,117.155,131345
Emei,That Girl,2023-05-09,0bMuCogMMHhNSq4fd3z1gA,0.695,0.55,7,-5.929,0.0895,0.00509,0,0.376,0.731,94.958,140427
The Notorious B.I.G.,Big Poppa - 2005 Remaster,2023-05-06,2g8HN35AnVGIk7B8yMucww,0.78,0.575,9,-7.247,0.273,0.43,0,0.143,0.773,84.492,252747
Fruit Bats,The Bottom of It,2023-05-01,6tZetCGfhxPh5ZIKCGmaKq,0.631,0.625,0,-10.73,0.0374,0.134,0.0196,0.117,0.305,155.987,181400
Spence Hood,Foothills,2023-04-26,3AdKqAQfC06utQJNINSRvA,0.712,0.514,5,-6.452,0.0524,0.185,0,0.18,0.532,76.961,197740
The Astronomers,Casita,2023-04-24,5Ojt0J65aGPzRpLgEm270Q,0.623,0.656,5,-6.709,0.0632,0.392,6.26e-05,0.352,0.85,89.91,152222
Cage The Elephant,Cold Cold Cold,2023-04-21,1Q3t9fWvHUXKsMmpD2XpUu,0.549,0.789,5,-6.071,0.0313,0.0178,6.7e-05,0.059,0.715,136.125,214387
Human Zoo,"Aphrodite, Your Electric Sexiness",2023-04-11,1uA8XtPIoxLDr1WW3Q1soR,0.434,0.721,6,-6.029,0.0575,0.0162,0.000103,0.0296,0.778,108.061,174500
Bohdi,2025,2023-04-10,5iVCe6f4zgTfa0Ekfhsh2M,0.938,0.608,0,-9.963,0.146,0.217,0.00114,0.131,0.91,133.99,209250
Annie DiRusso,Don't Swerve,2023-04-09,1vjNpmWDEDMbGXm9ziftkH,0.633,0.424,7,-8.933,0.0261,0.0264,0.000875,0.112,0.112,108.971,176727
The Kiffness,Hold Onto My Fur,2023-04-09,6ioQB5fLHg5McsIDRHotNA,0.717,0.525,0,-10.06,0.18,0.574,2.02e-05,0.491,0.78,87.95,185455
STRFKR,Golden Light,2023-03-18,1rPYEWQfIRo5A4fvLgFbBe,0.573,0.669,8,-11.436,0.0332,0.521,0.806,0.321,0.159,96.982,283053
STRFKR,Rawnald Gregory Erickson the Second,2023-03-17,4j4pPKE3xAblPIbhxScC1j,0.9,0.538,7,-7.879,0.0343,0.229,0.843,0.287,0.713,95.508,173693
The Lemon Twigs,The Lesson,2023-03-01,6fVB7AHbbiEIB8GhgAm1xO,0.432,0.544,9,-6.059,0.0249,0.611,0.000264,0.363,0.446,84.279,193415
Ellie Bleach,Doing Really Well Thanks,2023-02-14,5RKsUNisanWVAvmg1BO7f5,0.529,0.572,7,-9.997,0.0635,0.426,0.000352,0.245,0.63,167.798,283403
Seeing Double,Bygones,2023-02-10,3dxyjndbTSQt0N86qC86hL,0.589,0.619,4,-5.463,0.0474,0.269,0,0.0652,0.254,123.052,211265
The Brummies,Songbird,2023-02-02,1PmhExGj9PlkZEPLHySc1b,0.541,0.525,7,-6.573,0.0275,0.132,9.55e-05,0.236,0.463,102.046,152209
Sammy Rae & The Friends,Closer to You,2023-02-02,5agTqEuMNi0RXgASfpgUUD,0.512,0.355,2,-8.776,0.101,0.637,0,0.0864,0.56,175.66,238688
Okey Dokey,Modern Chemistry,2022-12-30,4rYXACRDVp7Loys5Lnot6i,0.548,0.608,5,-7.506,0.0265,0.0042,2.2e-05,0.0665,0.436,89.997,230213
ORION,Sleep,2022-12-24,4sK1uoXANzPe1x6jekCY0T,0.714,0.773,7,-5.986,0.0245,0.016,0,0.284,0.679,95.983,223924
Fleet Foxes,Textbook Love,2022-12-24,3v8s9GObzeBBVDZU7TM65V,0.399,0.861,1,-4.253,0.15,0.05,4.74e-05,0.106,0.42,150.484,204440
Quail,Blue Sky,2022-12-23,6LHB9TcNKuFCcBySyA41My,0.723,0.462,7,-7.866,0.0466,0.31,0.00268,0.0749,0.676,98.121,398347
Margaux,Palm,2022-12-07,7qvGdwBxQiOGM21vUgJ8oc,0.457,0.511,6,-7.621,0.0344,0.819,0.0442,0.135,0.0803,111.742,274947
Seeing Double,Take It Or Leave It,2022-12-04,0dlDVIewWjpSsHXZFdRi7f,0.51,0.633,7,-8.675,0.0587,0.287,0,0.165,0.791,92.056,161087
Foresight,The Room Is Filled With People That Love You,2022-11-26,1TeKvnR9Xkdh9KaqR4X2Od,0.557,0.831,11,-10.403,0.0667,0.624,0.0197,0.0976,0.507,141.219,231115
Jake Wesley Rogers,Lavender Forever,2022-11-26,3LlvRrcCyEGfI88ztZQM5r,0.721,0.586,7,-5.477,0.0474,0.0141,0.000298,0.267,0.456,120.03,174719
Reina del Cid,Bernadette,2022-11-26,4NFhb4AOPBulDFgxyoXaLH,0.79,0.365,6,-10.55,0.0378,0.564,0.323,0.143,0.561,95.981,165027
Dirt Poor Robins,Babylon,2022-11-23,1gXrhZOunxvPwhlIVJ8KMS,0.6,0.773,9,-6.435,0.0864,0.444,2.16e-05,0.421,0.518,119.962,244754
The Greeting Committee,You've Got Me,2022-11-16,534uBUA3qVXAp1jLfK5tL1,0.63,0.634,1,-4.852,0.0252,0.294,0,0.328,0.63,99.026,219147
The Happy Fits,Little Words,2022-11-16,04hsupNh2hvlTgXSMkyc4T,0.34,0.221,2,-8.421,0.0343,0.805,0,0.112,0.0788,83.27,241520
Liam Kazar,Shoes Too Tight,2022-11-09,3MGPcc3h0xF08Qc4wh0Yh1,0.609,0.592,9,-6.016,0.162,0.559,0.000211,0.112,0.97,200.116,267543
Fever Dolls,Adeline,2022-11-03,7frWsGpayRZ0FuDzKnE3Ws,0.627,0.766,7,-3.459,0.0267,0.331,4.19e-05,0.257,0.813,109.86,160773
Back to Yours,Mallory,2022-10-28,4rszo7NQ3kohBSMVSg6RgV,0.437,0.623,8,-9.505,0.0339,0.0129,0.000384,0.115,0.778,142.302,206795
The Features,Lions,2022-10-28,5tvtEIjTi6iqutVC0Npdca,0.678,0.662,6,-6.636,0.025,0.15,3.01e-05,0.347,0.709,109.311,216800
Cain Culto,Witchyman,2022-10-26,0zWgZBHZfisqNN0m5pfYcJ,0.786,0.593,7,-9.83,0.0808,0.602,0.000166,0.138,0.873,148.043,176963
alt-J,Breezeblocks,2022-10-22,3n69hLUdIsSa1WlRmjMZlW,0.615,0.658,5,-7.299,0.0343,0.096,0.000911,0.205,0.293,150.093,227080
Melt,Shy,2022-10-19,2XxZIwXWl6eFmOBm4heq2N,0.333,0.806,1,-4.07,0.0977,0.0266,0.000145,0.127,0.487,169.659,220775
Nataly Dawn,Coffee Baby,2022-10-14,6TpdOnXKzbzalL98a4MmXx,0.76,0.4,7,-9.579,0.0362,0.544,0,0.113,0.57,104.942,187047
the bird and the bee,You're A Cad,2022-10-14,6iclmondrvCYR8eWOsr1Rd,0.702,0.717,9,-8.741,0.0747,0.476,0.000222,0.124,0.695,93.021,189653
Joywave,F.E.A.R.,2022-10-08,4YXkB2Ti8KBX8dgUnhLoNg,0.713,0.588,9,-5.063,0.0458,0.00189,0,0.124,0.788,101.007,181213
Liza Anne,Bummer Days,2022-10-05,5XgD3IJKhhChTDtoRzl2V6,0.692,0.673,8,-3.585,0.0323,0.54,0,0.165,0.703,99.652,157668
Sammy Rae & The Friends,Follow Me Like the Moon,2022-09-30,1lExr2fRER9uMrpIBqArSO,0.629,0.853,11,-5.043,0.0729,0.146,6.78e-05,0.176,0.679,108.119,261903
Sammy Rae & The Friends,Jackie Onassis,2022-09-30,2t034uMx7XDFSOEp48dXPI,0.477,0.556,1,-10.063,0.0613,0.196,0,0.0885,0.541,104.721,293143
Sammy Rae & The Friends,Flesh & Bone,2022-09-30,5a6FpH6vRxYdQeCZBcIUb7,0.632,0.534,2,-6.783,0.0847,0.505,0,0.077,0.825,145.807,267677
Sammy Rae & The Friends,Good Life,2022-09-28,6sOK9LnvTTj4E2ZGzhKTQo,0.429,0.798,3,-5.361,0.0836,0.537,0,0.0676,0.393,99.482,236000
