,134340_Pluto_by_Cojum_Dip,2025_by_Bohdi,27_Kids_by_GRMLN,50_Ways_to_Say_Goodbye_by_Train,6_Count_Swing_by_This_Way_To_The_Egress,99_Luftballons_by_Nena,Across_the_Drift_(Riftborn_Theme)_by_Arnaud_Roy,Adeline_by_Fever_Dolls,Allies_or_Enemies_by_The_Crane_Wives,All_Gone_by_Mother_Mother,All_the_King's_Men_by_The_Rigs,Always_by_Gender_Roles,Always_Right_by_Anne_Reburn,Always_Sayin'_by_The_Littlest_Man_Band,Animals_Crying_by_Statues_of_Cats,Animal_by_Sir_Chloe,An_Unhealthy_Obsession_by_The_Blake_Robinson_Synthetic_Orchestra,"Aphrodite,_Your_Electric_Sexiness_by_Human_Zoo",April_to_Death_by_Flower_Face,Arms_Tonite_by_Mother_Mother,A_Thousand_Years_by_Christina_Perri,A_Wistful_Waltz_by_Teddy_Hyde,Babylon_by_Dirt_Poor_Robins,Baby_Boy_by_Hot_Freaks,Bang!_by_AJR,Begin_Again_by_Adam_Melchor,Bernadette_by_Reina_del_Cid,Best_Tears_by_The_Happy_Fits,Better_People_to_Leave_on_Read_by_Emei,Big_Poppa_-_2005_Remaster_by_The_Notorious_B.I.G.,Big_Town_Banky_Blaine's_Rockabilly_BBQ_by_Bear_Ghost,Bird_Song_by_Florence_+_The_Machine,Blame_by_Andy_Leon,Bloodsuckers_by_Johnny_Hollow,Blue_Sky_by_Quail,Boats_&_Birds_by_Gregory_and_the_Hawk,Body_by_Mother_Mother,Breezeblocks_by_alt-J,Bummer_Days_by_Liza_Anne,Burning_Pile_by_Mother_Mother,Burn_It_Down_by_Tauese_Tofa,Bygones_by_Seeing_Double,Can't_Go_Back_by_The_Crane_Wives,Can_You_Keep_Up_by_Blue_Kid,Caroline_by_Crash_Adams,Casita_by_The_Astronomers,Cave_Song_by_Pretty_Vicious,Cellophane_by_Sara_Jackson-Holman,CEO_of_Watching_Television_by_Ellie_Dixon,Chicken_by_Your_Neighbors,City_of_Angels_by_Em_Beihold,Closer_to_You_by_Sammy_Rae_&_The_Friends,CoDA_by_Dead_Poet_Society,Coffee_Baby_by_Nataly_Dawn,Cold_Cold_Cold_by_Cage_The_Elephant,Colors_by_April_Smith_and_the_Great_Picture_Show,Combat_Baby_by_Metric,Comedy_by_Gen_Hoshino,Community_Gardens_by_The_Scary_Jokes,Conversations_by_Marney,Cooler_Than_Me_by_First_to_Eleven,Counting_Stars_by_OneRepublic,Crazy_by_Burn_The_Ballroom,Crazy_by_Gnarls_Barkley,Curses_by_The_Crane_Wives,"Danse_Macabre,_Op._40,_R.171_by_Camille_Saint-SaÃ«ns",Dead_Disco_by_Metric,Dear_God_-_Remastered_2001_by_XTC,Delirium_Tremendous_by_Felix_Hagan_&_the_Family,despair_by_leo.,Devil's_Playground_by_The_Rigs,Devils_Point_by_Wicked_Shallows,didya_think_by_Arlie,Dirty_Imbecile_by_The_Happy_Fits,Distracted_by_Emei,Dogs_by_Magic_Sugar_Coffee,Dog_Named_Dog_by_Louie_Zong,Doing_Really_Well_Thanks_by_Ellie_Bleach,Don't_Call_Me_When_You're_Lonely_by_Fox_Royale,Don't_Stop_by_Gin_Wigmore,Don't_Swerve_by_Annie_DiRusso,Down_in_Virginia_by_Grace_Victoria,Dream_of_Better_Things_by_AlicebanD,Dressed_In_Violets_by_hometown_&_young,Drugs_by_UPSAHL,Eat_You_by_Caravan_of_Thieves,Egg_by_Shoe,Eleanor_Rigby_by_Dirt_Poor_Robins,Evelyn_by_Kim_Tillman,Everyday_Is_Christmas_by_Sia,Experience_by_Ludovico_Einaudi,F.E.A.R._by_Joywave,Falling_Off_by_The_People's_Thieves,Farewell_Kabarista_by_Vagabond_Opera,Farewell_Wanderlust_by_The_Amazing_Devil,Fear_&_Delight_by_The_Correspondents,Feel_Better_by_Penelope_Scott,Femme_Fatale_by_Coyote_Kid,Ferryman_by_Shayfer_James,Fight_for_Me_by_AlicebanD,Fire_With_Fire_by_AlicebanD,Five_Minutes_by_The_Altogether,Flesh_&_Bone_by_Sammy_Rae_&_The_Friends,Follow_Me_Like_the_Moon_by_Sammy_Rae_&_The_Friends,Foothills_by_Spence_Hood,For_Elise_by_Saint_Motel,From_The_Gallows_by_I_DONT_KNOW_HOW_BUT_THEY_FOUND_ME,Funkle_Phil_by_Bear_Ghost,Game_by_Harrison_Fjord,Get_Used_to_It_by_Ricky_Montgomery,Gimme_Sympathy_by_Metric,Girls_and_Their_Bits_by_Shoe,Goat's_Milk_by_Ezra_Bell,Golden_by_Elysewood,Golden_Light_by_STRFKR,good_4_u_by_Olivia_Rodrigo,Good_Gone_Bad_by_Piper_Madison,Good_Life_by_Sammy_Rae_&_The_Friends,Great_Vacation_by_Dirt_Poor_Robins,Green_(Secret_Songbook_Sessions)_by_Ivory_Layne,Green_Grass_by_Ellie_Dixon,Grey_Morning_by_FOXTRAX,Groundhog_Day_by_Em_Beihold,Grow_Up_and_Blow_Away_by_Metric,Hayloft_by_Mother_Mother,Heart-Shaped_Hologram_by_Stephanie_Mabey,Henrietta_by_The_Fratellis,Here_is_a_Heart_by_Jenny_Owen_Youngs,Hey_Ho_by_Gin_Wigmore,Him_&_I_(with_Halsey)_by_G-Eazy,Hold_Onto_My_Fur_by_The_Kiffness,Holocaust_of_Giants_by_Rasputina,Home_by_AlicebanD,Honestly_by_Bantams,Honey_I'm_Home_by_Destroy_Boys,Hustle_Rose_by_Metric,I'll_Rust_With_You_by_Steam_Powered_Giraffe,I'm_Gonna_Win_by_Rob_Cantor,If_It_All_Goes_South_by_Sammy_Rae_&_The_Friends,Infrared_by_Em_Beihold,It's_No_Secret_by_Jukebox_The_Ghost,I_Can't_Decide_by_Scissor_Sisters,I_Do_by_Gin_Wigmore,I_Just_Wanna_Shine_by_Fitz_and_The_Tantrums
134340_Pluto_by_Cojum_Dip,1.0000055,0.85907847,0.8481814,0.7895682,0.8669411,0.853886,0.7887384,0.85770726,0.8553744,0.8589746,0.8360289,0.83425504,0.8511692,0.76886475,0.76076937,0.85423833,0.8562423,0.85512495,0.8566219,0.8641497,0.79916096,0.8540227,0.8375102,0.85689604,0.85090864,0.8632898,0.8541685,0.8544407,0.8471017,0.8325073,0.85990286,0.8554841,0.8497787,0.85336924,0.76508737,0.85635465,0.83602375,0.8545661,0.85256237,0.8221706,0.8563825,0.86547804,0.7986677,0.85975844,0.8631867,0.8524972,0.84972394,0.8556893,0.83927065,0.8645608,0.8596223,0.8477272,0.85966146,0.85652006,0.7753981,0.84750944,0.8655296,0.8193499,0.8545811,0.8608134,0.84638506,0.81143594,0.86497104,0.85448015,0.8589282,0.80207825,0.8580259,0.8691627,0.85088766,0.835986,0.8592053,0.8158133,0.8608434,0.8307049,0.85400534,0.85096097,0.85419124,0.8038768,0.8644445,0.83599573,0.8518806,0.84890676,0.84774554,0.8637479,0.849006,0.85187304,0.8639235,0.81367433,0.8434265,0.85926217,0.781753,0.8521609,0.8241075,0.7850243,0.75981414,0.8560943,0.8197965,0.85633457,0.8559476,0.85730004,0.8520359,0.86429965,0.81371874,0.8205494,0.86086303,0.8585471,0.8512121,0.85482097,0.8220393,0.85739213,0.8638972,0.78622925,0.8533306,0.76907384,0.796094,0.8597877,0.862073,0.85150546,0.78358066,0.86413133,0.862159,0.8628007,0.8586369,0.81359607,0.85951847,0.8620068,0.8686194,0.82030666,0.8294563,0.78653574,0.8360795,0.85404485,0.8531586,0.8529013,0.8601355,0.75016105,0.83272266,0.8535266,0.8359672,0.8621713,0.8462755,0.8537431,0.85450816,0.8565217
2025_by_Bohdi,0.85907847,1.000009,0.86534905,0.79177046,0.8586921,0.8553196,0.7975819,0.8775909,0.8766204,0.85068226,0.8644753,0.8278695,0.87155455,0.7660866,0.76528,0.87132174,0.8751565,0.874032,0.8496177,0.86795914,0.8001909,0.85502607,0.8314926,0.8729752,0.8729544,0.85761005,0.8745663,0.8709213,0.86528665,0.83012146,0.85159373,0.8745693,0.8476708,0.870662,0.7674387,0.87560076,0.8644785,0.8506296,0.87157065,0.8206245,0.8522646,0.8765356,0.8003221,0.8783498,0.8657101,0.8758824,0.8670265,0.8733086,0.8401185,0.87867725,0.8749347,0.8507152,0.8516319,0.87525773,0.775395,0.8666437,0.8784284,0.81619066,0.8738344,0.8728476,0.8390755,0.8084706,0.862945,0.8723609,0.8505087,0.8142836,0.8732415,0.8693037,0.8678226,0.86443824,0.8781178,0.8117595,0.8719312,0.8245293,0.8700516,0.86933017,0.8726988,0.8011989,0.8615608,0.86444426,0.8706963,0.8711209,0.8689271,0.8572867,0.86794704,0.8434527,0.86112964,0.80894315,0.8392707,0.87787986,0.782631,0.8743786,0.82372373,0.7854767,0.7609317,0.8741747,0.8147161,0.85550845,0.8724319,0.877977,0.8734071,0.86440194,0.81775796,0.81596684,0.87851065,0.8767234,0.87030214,0.8758136,0.8180979,0.85465336,0.86830044,0.7863455,0.8715599,0.77157557,0.7927681,0.8818619,0.8729772,0.8457258,0.7856379,0.87961376,0.8633811,0.8796819,0.8798388,0.80871785,0.87547016,0.87675464,0.87266695,0.8143618,0.8302068,0.7836143,0.86452776,0.8714527,0.87346184,0.86885905,0.8756516,0.7489779,0.83410656,0.87145805,0.86442626,0.8674191,0.86409944,0.87025493,0.84997416,0.8562168
27_Kids_by_GRMLN,0.8481814,0.86534905,1.0000137,0.7848568,0.84805065,0.851468,0.7931242,0.90321046,0.88743097,0.8417641,0.9049181,0.81984985,0.9282168,0.7642327,0.7604627,0.915547,0.8790256,0.8965401,0.8428338,0.8563618,0.7934771,0.8462297,0.8225568,0.9031334,0.89515483,0.8454183,0.8973347,0.9119519,0.9299127,0.8256432,0.84174263,0.8998594,0.84101725,0.91617,0.7661024,0.90046144,0.90492094,0.8423955,0.9116441,0.8131356,0.84253263,0.8622357,0.79271024,0.8848156,0.85500443,0.91347885,0.9325457,0.8848368,0.8345702,0.8727263,0.8799388,0.83873194,0.8386023,0.88428813,0.7666567,0.90388167,0.86610967,0.8115201,0.9092011,0.86453074,0.8312264,0.8096919,0.84849626,0.8911663,0.84131104,0.8182762,0.864321,0.85884446,0.8754774,0.9049098,0.86610734,0.80591357,0.863265,0.82605475,0.9108967,0.9111042,0.9083565,0.80073404,0.8460087,0.9049146,0.89649415,0.91167396,0.9311744,0.8479981,0.91061634,0.8350685,0.84981996,0.8040052,0.82975554,0.8724084,0.7785201,0.892687,0.82213396,0.78948766,0.7791238,0.8752282,0.81169724,0.8379679,0.886219,0.88851124,0.8897566,0.85416853,0.8135893,0.81051946,0.8761448,0.87538517,0.9069943,0.8829689,0.81269026,0.8452449,0.8575607,0.781411,0.90313894,0.7678851,0.7876042,0.8788301,0.85891086,0.8378939,0.78351754,0.8724909,0.8565262,0.8839825,0.89353085,0.80215085,0.8850856,0.8725949,0.86295044,0.8081748,0.8199907,0.78461796,0.9049449,0.89136964,0.86890227,0.9197245,0.87413013,0.7510675,0.8285578,0.91266483,0.90488833,0.85721326,0.9318153,0.9057253,0.8408555,0.84029883
50_Ways_to_Say_Goodbye_by_Train,0.7895682,0.79177046,0.7848568,0.9999901,0.7922121,0.7991679,0.79778993,0.7927612,0.7902725,0.78688675,0.7972192,0.795557,0.79222363,0.78068036,0.78045815,0.7899716,0.7861948,0.79042345,0.7986306,0.7899951,0.80895615,0.8071116,0.79769886,0.78981715,0.7852942,0.78714335,0.7920643,0.7890998,0.78446275,0.7938788,0.79365724,0.7921636,0.80229825,0.7899897,0.77373654,0.7954165,0.7972201,0.7870806,0.78686255,0.80302274,0.7971634,0.7949112,0.80352986,0.7895364,0.78683996,0.7904671,0.7872066,0.7864457,0.80250734,0.79484516,0.7880342,0.80469066,0.7842482,0.78732,0.7952361,0.7784289,0.79864275,0.7964708,0.79069287,0.7858488,0.7944898,0.8001311,0.79393786,0.7884326,0.79059535,0.7997887,0.7827129,0.7937869,0.7761037,0.79717064,0.78777975,0.8035356,0.7902676,0.7874004,0.7886147,0.7836251,0.79249656,0.80792105,0.79569465,0.7971803,0.7841613,0.7857278,0.7887793,0.7866792,0.7843133,0.79440755,0.7942552,0.8004811,0.79276496,0.7860148,0.8027295,0.7868677,0.80564713,0.7972247,0.77579725,0.78401935,0.7897799,0.7957408,0.7855383,0.7933399,0.7831172,0.7897601,0.8045836,0.7996166,0.78792834,0.7859456,0.78521854,0.7867974,0.7983733,0.7926373,0.8022583,0.7925701,0.78595746,0.7791296,0.7973908,0.79460466,0.78598046,0.7949567,0.8013799,0.79081535,0.7987962,0.793535,0.8000575,0.79454297,0.79001385,0.7898468,0.8020685,0.80682486,0.8048216,0.7938153,0.7972827,0.78279805,0.77868783,0.7854947,0.78691673,0.77058357,0.79574865,0.7861965,0.79715836,0.7911813,0.7820257,0.78572434,0.7874957,0.789354
6_Count_Swing_by_This_Way_To_The_Egress,0.8669411,0.8586921,0.84805065,0.7922121,1.0000085,0.8560765,0.7921299,0.8602271,0.8574925,0.8618462,0.83856577,0.8349602,0.8516621,0.7693837,0.763176,0.8545526,0.8558233,0.8570468,0.8580069,0.8650686,0.801813,0.85765415,0.838841,0.85711986,0.85269636,0.8645852,0.85430706,0.85570437,0.84751755,0.83675086,0.8626454,0.8561776,0.852599,0.85383976,0.76633334,0.857941,0.83856875,0.85750973,0.8534766,0.82546043,0.85825,0.8650492,0.800643,0.86038756,0.86427987,0.85408,0.8512895,0.85699946,0.84139264,0.86420244,0.85874236,0.8503976,0.8611376,0.8580592,0.7769675,0.8481464,0.8655739,0.82088196,0.85540664,0.86282533,0.84678495,0.81355166,0.8646781,0.8551634,0.8612642,0.8053121,0.8582983,0.8674989,0.8503884,0.8385278,0.8593875,0.81632876,0.8620937,0.8346163,0.85431653,0.8516931,0.85498405,0.8048485,0.86496556,0.838532,0.85204095,0.84970134,0.8505603,0.8642516,0.8501612,0.85322595,0.86721265,0.8157639,0.8456362,0.85905975,0.78292894,0.8548595,0.8260074,0.7868705,0.76042074,0.8566488,0.82248724,0.8584104,0.8568773,0.85877,0.8520078,0.8662746,0.81789386,0.8223232,0.8607023,0.8586154,0.8528858,0.85596126,0.8238855,0.85788953,0.8654221,0.78783077,0.8545797,0.77124476,0.798233,0.86003697,0.86094034,0.8539788,0.7855789,0.864342,0.86212295,0.863929,0.8616307,0.81671244,0.85942805,0.8631475,0.86960924,0.8223443,0.8323195,0.78789294,0.8386212,0.854545,0.8521846,0.8535355,0.86057633,0.75171405,0.8324939,0.85384643,0.8385121,0.86368847,0.84795964,0.8547329,0.8556017,0.8588489
99_Luftballons_by_Nena,0.853886,0.8553196,0.851468,0.7991679,0.8560765,1.0000033,0.80766994,0.85774714,0.8558301,0.85074854,0.8577969,0.83706534,0.8555678,0.77578795,0.7751697,0.8547454,0.8548063,0.8559521,0.8567539,0.85551715,0.80755216,0.857142,0.83910877,0.8558138,0.85238,0.8532455,0.8567519,0.8544043,0.8515436,0.83860993,0.85517454,0.8560888,0.8549261,0.8542987,0.7727823,0.85868365,0.8578008,0.8521331,0.8517484,0.8289994,0.8559009,0.858624,0.807013,0.8596527,0.853722,0.85486156,0.8531291,0.85328835,0.8444021,0.86079043,0.857726,0.85678804,0.84920233,0.85600847,0.79009336,0.8469488,0.8607438,0.8232706,0.85632366,0.85278255,0.84460765,0.81894684,0.8558364,0.85529655,0.8526941,0.8208061,0.8512281,0.8588155,0.8475293,0.85775983,0.8542816,0.8211961,0.85397124,0.84094775,0.8543051,0.8508473,0.85577446,0.81159776,0.85402894,0.8577663,0.85053194,0.8490235,0.8543859,0.8531972,0.85057294,0.8548345,0.8562906,0.8195579,0.84620696,0.8551667,0.79486036,0.85281616,0.8305743,0.7942644,0.772354,0.855289,0.8246569,0.8537711,0.85451937,0.85831726,0.85043776,0.8551667,0.82353294,0.82509464,0.85799956,0.8542136,0.8507735,0.8547158,0.8264953,0.8544632,0.8621635,0.79263306,0.85305625,0.7784352,0.80119914,0.8604266,0.85328686,0.8540834,0.79248965,0.85892916,0.8595956,0.86244535,0.86176556,0.8173721,0.8571272,0.8567449,0.8605906,0.8244025,0.8372697,0.7926636,0.85785025,0.85177666,0.8501723,0.85376513,0.8561778,0.76211774,0.83325994,0.8533129,0.857748,0.8559363,0.85107076,0.8528889,0.84954304,0.84976083
Across_the_Drift_(Riftborn_Theme)_by_Arnaud_Roy,0.7887384,0.7975819,0.7931242,0.79778993,0.7921299,0.80766994,0.9999954,0.7941789,0.7898536,0.7846477,0.8491108,0.7901335,0.80444103,0.7894623,0.79783964,0.7935201,0.7883348,0.7927557,0.80118775,0.7890647,0.8044916,0.8137795,0.79408383,0.7901488,0.7863962,0.78568435,0.79979867,0.78983414,0.7964242,0.7933115,0.795543,0.7974749,0.80313456,0.79320335,0.79024786,0.79937345,0.8491042,0.792777,0.7893265,0.7956235,0.79833204,0.79845804,0.79720765,0.7918457,0.788238,0.7943535,0.7934633,0.78543526,0.80204886,0.8011578,0.79060847,0.8085493,0.78212917,0.7867984,0.8017533,0.7787273,0.80248016,0.7942854,0.79463977,0.7879333,0.791381,0.79313695,0.796942,0.7887046,0.7904329,0.82901627,0.7825552,0.7958292,0.77563053,0.84907025,0.7900171,0.7949598,0.7937171,0.7919879,0.79617757,0.7898064,0.80216694,0.80330837,0.7979187,0.8490815,0.7831977,0.7877666,0.80077016,0.78601795,0.7867947,0.79416084,0.79613423,0.7895089,0.7926391,0.7870118,0.8119462,0.7904583,0.80758554,0.79578686,0.7986531,0.78430283,0.784532,0.7980702,0.7859828,0.79815495,0.7845152,0.79248947,0.8006155,0.79196304,0.79199123,0.7887035,0.7859632,0.7874081,0.790023,0.7919528,0.80756783,0.7831421,0.7871165,0.7920102,0.7899088,0.801905,0.78691405,0.7944124,0.79830956,0.7927314,0.8085979,0.7932824,0.8089348,0.78481215,0.78960884,0.79674,0.8032335,0.7972524,0.80192316,0.78597355,0.8491603,0.7812514,0.7788828,0.7929131,0.7883169,0.7883308,0.7897932,0.7880609,0.84905183,0.79405916,0.7906448,0.78534174,0.7916512,0.79322845
Adeline_by_Fever_Dolls,0.85770726,0.8775909,0.90321046,0.7927612,0.8602271,0.85774714,0.7941789,1.000012,0.8988044,0.85130054,0.8848826,0.8285227,0.905863,0.7711997,0.7654538,0.91031414,0.8911768,0.9083776,0.8505594,0.86543536,0.80187106,0.85590726,0.8331549,0.9126493,0.9074999,0.8554801,0.90959096,0.91095334,0.9012947,0.8326999,0.85100275,0.9107484,0.85008204,0.9095348,0.7715171,0.9109328,0.88488036,0.8486893,0.9098767,0.82076347,0.8519648,0.87349653,0.80398065,0.8959743,0.8650472,0.9128186,0.9043691,0.89721733,0.83852684,0.8800247,0.88749576,0.849959,0.8507143,0.89676917,0.7753004,0.9069389,0.8765782,0.81808937,0.9113671,0.87297845,0.8394791,0.81667966,0.8588155,0.9017545,0.852174,0.81995505,0.8748214,0.8668392,0.8862033,0.8848589,0.87864625,0.81499654,0.87173533,0.82541215,0.90880936,0.907628,0.909556,0.8064161,0.85749745,0.88485616,0.90578955,0.90791667,0.9037577,0.85587776,0.9068424,0.84362566,0.8599699,0.8126579,0.83854127,0.8841276,0.785408,0.90554905,0.82337654,0.7919792,0.7757626,0.88494545,0.8210407,0.8507905,0.8966035,0.8976442,0.9013676,0.8640231,0.82079047,0.8176178,0.8841369,0.8848297,0.9094336,0.89426595,0.82232225,0.8552146,0.8689858,0.7883468,0.9116327,0.7769133,0.7964075,0.8889277,0.8698119,0.8460545,0.79195553,0.8834465,0.8636442,0.895037,0.89942765,0.8090161,0.8975848,0.8787476,0.87178516,0.817015,0.8298686,0.78902805,0.8849276,0.90211684,0.88284236,0.90871537,0.8835165,0.7546077,0.83681226,0.91085815,0.884849,0.865196,0.9016936,0.9121903,0.84814304,0.85115474
Allies_or_Enemies_by_The_Crane_Wives,0.8553744,0.8766204,0.88743097,0.7902725,0.8574925,0.8558301,0.7898536,0.8988044,1.000013,0.8494927,0.8729662,0.8272635,0.8913652,0.76458985,0.763087,0.8924725,0.88510066,0.8984553,0.84789175,0.86424303,0.7989423,0.85359395,0.8289087,0.897028,0.89501655,0.8543743,0.8962082,0.8935559,0.8849296,0.82969874,0.84956473,0.8957226,0.8471155,0.8930558,0.76701117,0.8967984,0.8729694,0.84709996,0.89203066,0.81985635,0.8492846,0.87458235,0.7995948,0.8954281,0.86411315,0.8937913,0.8891106,0.89800495,0.83595175,0.87863517,0.88930064,0.84783816,0.84924173,0.8972097,0.7720174,0.8896892,0.87563145,0.8150338,0.89447594,0.8708321,0.8379386,0.8153,0.85898954,0.89708745,0.8513907,0.8142961,0.87442493,0.8664832,0.8868873,0.8729314,0.88088703,0.8108028,0.870249,0.8236278,0.89223117,0.89074135,0.8928987,0.8020211,0.85878,0.87293595,0.89287937,0.89061457,0.88792944,0.8546833,0.8888437,0.84411675,0.8561692,0.80739886,0.83777875,0.883672,0.78199136,0.89687,0.81995124,0.7859136,0.76711476,0.88615125,0.8166563,0.85024846,0.89716554,0.8988506,0.8968512,0.86234015,0.8170421,0.8149586,0.88440186,0.881654,0.8927173,0.895659,0.81814104,0.8526717,0.86608493,0.78583515,0.8944877,0.77064544,0.7931904,0.88973826,0.868835,0.8447649,0.78881896,0.8850618,0.8637367,0.89488184,0.8990862,0.8074951,0.89688647,0.87758297,0.86968935,0.81458175,0.8277398,0.7832632,0.87301797,0.8955653,0.8843015,0.89091253,0.88454086,0.749258,0.8342604,0.8940926,0.8729189,0.86490035,0.8858342,0.89489585,0.8477853,0.8516007
All_Gone_by_Mother_Mother,0.8589746,0.85068226,0.8417641,0.78688675,0.8618462,0.85074854,0.7846477,0.85130054,0.8494927,1.0000011,0.8270029,0.8314324,0.84316003,0.7638445,0.7576431,0.8466653,0.8465371,0.84957963,0.8542064,0.85757065,0.7942454,0.85102415,0.8337668,0.85013777,0.8456652,0.8576889,0.8474405,0.8472848,0.8392432,0.8317067,0.8592623,0.8498529,0.847554,0.8447593,0.76052094,0.84996724,0.8269949,0.8525126,0.8463964,0.81984,0.8546167,0.856991,0.7951529,0.85259664,0.855225,0.8463445,0.8432636,0.8491068,0.8360367,0.8559618,0.8519735,0.8455815,0.8561948,0.85018957,0.77098626,0.8429983,0.85740477,0.817451,0.8492692,0.8549786,0.8422698,0.8093269,0.8564828,0.84894407,0.8564881,0.7968029,0.8499029,0.8598128,0.84210026,0.82695836,0.85236615,0.813387,0.8543543,0.83039826,0.84690684,0.84480345,0.84666824,0.7997055,0.857555,0.8269708,0.8471009,0.84189016,0.84136355,0.8586021,0.84146774,0.849938,0.8602592,0.81208396,0.84336233,0.85094994,0.7772176,0.84726536,0.82032907,0.781907,0.75568795,0.84963965,0.81869096,0.8532611,0.84897757,0.8520971,0.8455756,0.85656494,0.81382334,0.81704545,0.85248834,0.8508472,0.8442042,0.84873873,0.81949925,0.85248977,0.8594705,0.7821872,0.84830344,0.7645065,0.7927062,0.8519045,0.85291547,0.84961104,0.7797374,0.8551125,0.8557831,0.8541102,0.8503778,0.81161314,0.8518605,0.8526956,0.861513,0.8180137,0.82777727,0.783277,0.82705504,0.84735584,0.844365,0.84573513,0.8535799,0.74593556,0.8246736,0.84684384,0.82693714,0.85829973,0.8397056,0.84736556,0.85240984,0.85464734
